war_name,war_deaths_low,war_deaths_high,civil_war,midpoint,region
Tripolitan War,396,977,Interstate war,1803,North Africa and Middle East
Second Franco-Hova War,380,485,Interstate war,1895,Sub-Saharan Africa
Yemen Civil War,362,2640,Civil war,1994,North Africa and Middle East
Azeri-Armenian War,350,700,Interstate war,1920,Asia
Sino-Khokandian War,332,332,Interstate war,1865,Asia
Franco-Mandingo War VIII,322,1022,Interstate war,1898,Sub-Saharan Africa
War of the Oranges,314,382,Interstate war,1801,Europe
Seventh Cape Frontier War,310,3000,Interstate war,1846.5,Sub-Saharan Africa
Russo-Khivan War,246,266,Interstate war,1873,Asia
Georgia-Russia War,225,244,Civil war,2008,Europe
Anglo-Turkish War,213,213,Interstate war,1808,North Africa and Middle East
Football War,206,368,Interstate war,1969,Americas
Papal States War,150,1000,Interstate war,1860,Europe
Ecuadorian-Colombian War,148,148,Interstate war,1863,Americas
Eighth Cape Frontier War,114,3700,Interstate war,1851,Sub-Saharan Africa
Polish-Lithuanian War,30,30,Interstate war,1920,Europe
