DATAFLOW,LAST UPDATE,freq,n_book,isced11,sex,age,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,SI,2022,48.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,SK,2022,57.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y16-64,PC,TR,2022,79.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,AT,2022,57.1,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,BE,2022,60.1,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,BG,2022,93.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,CH,2022,32.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,CY,2022,81.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,CZ,2022,52.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,DE,2022,,u
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,DK,2022,42.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,EA20,2022,64.9,e
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,EE,2022,51.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,EL,2022,69.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,ES,2022,58.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,EU27_2020,2022,66.4,e
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,FI,2022,35.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,FR,2022,55.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,HR,2022,80.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,HU,2022,80.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,IE,2022,51.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,IT,2022,79.6,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,LT,2022,62.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,LU,2022,41.9,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,LV,2022,75.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,ME,2022,90.3,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,MT,2022,64.8,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,NL,2022,45.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,NO,2022,35.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,PL,2022,63.0,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,PT,2022,72.4,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,RO,2022,93.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,RS,2022,92.2,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,SE,2022,40.5,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,SI,2022,62.7,
ESTAT:ILC_SCP27(1.0),01/10/24 23:00:00,A,0,ED0-2,F,Y20-64,PC,SK,2022,84.6,
