who,TEAGE,category,n,N,p,X,Y,whofct
Alone,73,Alone,1248,2004,0.6227544910179641,0.7260841836734694,100,Alone
Alone,73,Family,0,0,0,0.7260841836734694,100,Alone
Alone,73,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,73,Work,0,0,0,0.7260841836734694,100,Alone
Alone,74,Alone,1037,1775,0.584225352112676,0.7260841836734694,100,Alone
Alone,74,Family,0,0,0,0.7260841836734694,100,Alone
Alone,74,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,74,Work,0,0,0,0.7260841836734694,100,Alone
Alone,75,Alone,997,1601,0.622735790131168,0.7260841836734694,100,Alone
Alone,75,Family,0,0,0,0.7260841836734694,100,Alone
Alone,75,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,75,Work,0,0,0,0.7260841836734694,100,Alone
Alone,76,Alone,1045,1698,0.6154299175500589,0.7260841836734694,100,Alone
Alone,76,Family,0,0,0,0.7260841836734694,100,Alone
Alone,76,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,76,Work,0,0,0,0.7260841836734694,100,Alone
Alone,77,Alone,905,1573,0.575333757151939,0.7260841836734694,100,Alone
Alone,77,Family,0,0,0,0.7260841836734694,100,Alone
Alone,77,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,77,Work,0,0,0,0.7260841836734694,100,Alone
Alone,78,Alone,933,1388,0.6721902017291066,0.7260841836734694,100,Alone
Alone,78,Family,0,0,0,0.7260841836734694,100,Alone
Alone,78,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,78,Work,0,0,0,0.7260841836734694,100,Alone
Alone,79,Alone,723,1090,0.6633027522935779,0.7260841836734694,100,Alone
Alone,79,Family,0,0,0,0.7260841836734694,100,Alone
Alone,79,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,79,Work,0,0,0,0.7260841836734694,100,Alone
Alone,80,Alone,2792,4249,0.6570957872440574,0.7260841836734694,100,Alone
Alone,80,Family,0,0,0,0.7260841836734694,100,Alone
Alone,80,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,80,Work,0,0,0,0.7260841836734694,100,Alone
Alone,85,Alone,2277,3136,0.7260841836734694,0.7260841836734694,85,Alone
Alone,85,Family,0,0,0,0.7260841836734694,100,Alone
Alone,85,Friend,0,0,0,0.7260841836734694,100,Alone
Alone,85,Work,0,0,0,0.7260841836734694,100,Alone
Boss or Manager,15,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,15,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,15,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,15,Work,3,1071,0.0028011204481792717,0.02237354085603113,100,Boss or Manager
Boss or Manager,16,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,16,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,16,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,16,Work,5,1391,0.0035945363048166786,0.02237354085603113,100,Boss or Manager
Boss or Manager,17,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,17,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,17,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,17,Work,5,1561,0.0032030749519538757,0.02237354085603113,100,Boss or Manager
Boss or Manager,18,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,18,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,18,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,18,Work,23,1028,0.02237354085603113,0.02237354085603113,18,Boss or Manager
Boss or Manager,19,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,19,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,19,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,19,Work,9,878,0.010250569476082005,0.02237354085603113,100,Boss or Manager
Boss or Manager,20,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,20,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,20,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,20,Work,17,836,0.02033492822966507,0.02237354085603113,100,Boss or Manager
Boss or Manager,21,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,21,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,21,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,21,Work,4,737,0.005427408412483039,0.02237354085603113,100,Boss or Manager
Boss or Manager,22,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,22,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,22,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,22,Work,4,965,0.004145077720207254,0.02237354085603113,100,Boss or Manager
Boss or Manager,23,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,23,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,23,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,23,Work,10,1148,0.008710801393728223,0.02237354085603113,100,Boss or Manager
Boss or Manager,24,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,24,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,24,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,24,Work,21,1242,0.016908212560386472,0.02237354085603113,100,Boss or Manager
Boss or Manager,25,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,25,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,25,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,25,Work,7,1199,0.005838198498748957,0.02237354085603113,100,Boss or Manager
Boss or Manager,26,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,26,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,26,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,26,Work,21,1560,0.013461538461538462,0.02237354085603113,100,Boss or Manager
Boss or Manager,27,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,27,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,27,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,27,Work,7,1448,0.004834254143646409,0.02237354085603113,100,Boss or Manager
Boss or Manager,28,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,28,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,28,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,28,Work,21,1998,0.010510510510510511,0.02237354085603113,100,Boss or Manager
Boss or Manager,29,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,29,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,29,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,29,Work,16,2715,0.005893186003683241,0.02237354085603113,100,Boss or Manager
Boss or Manager,30,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,30,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,30,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,30,Work,13,3217,0.004041032017407522,0.02237354085603113,100,Boss or Manager
Boss or Manager,31,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,31,Family,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,31,Friend,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,31,Work,23,3057,0.007523716061498201,0.02237354085603113,100,Boss or Manager
Boss or Manager,32,Alone,0,0,0,0.02237354085603113,100,Boss or Manager
Boss or Manager,32,Family,0,0,0,0.02237354085603113,100,Boss or Manager
