Year;Non-electoral autocracies;One-party autocracies;Multi-party autocracies without elected executive;Multi-party autocracy;Exclusive democracies;Male democracies;Electoral democracies;Polyarchies;Frec Total;Frec Non-electoral autocracies;Frec One-party autocracies;Frec Multi-party autocracies without elected executive;Frec Multi-party autocracy;Frec Exclusive democracies;Frec Male democracies;Frec Electoral democracies;Frec Polyarchies
1970;44;42;15;21;2;1;16;33;174;0,253;0,241;0,086;0,121;0,011;0,006;0,092;0,190
1971;44;45;17;19;2;0;15;34;176;0,250;0,256;0,097;0,108;0,011;0;0,085;0,193
1972;46;46;17;18;1;0;14;34;176;0,261;0,261;0,097;0,102;0,006;0;0,080;0,193
1973;44;48;15;19;1;0;16;33;176;0,250;0,273;0,085;0,108;0,006;0;0,091;0,188
1974;47;46;15;17;1;0;17;33;176;0,267;0,261;0,085;0,097;0,006;0;0,097;0,188
1975;47;46;14;15;1;0;19;34;176;0,267;0,261;0,080;0,085;0,006;0;0,108;0,193
1976;50;49;9;15;1;0;17;35;176;0,284;0,278;0,051;0,085;0,006;0;0,097;0,199
1977;51;49;9;14;1;0;17;35;176;0,290;0,278;0,051;0,080;0,006;0;0,097;0,199
1978;45;52;8;16;1;0;16;38;176;0,256;0,295;0,045;0,091;0,006;0;0,091;0,216
1979;38;55;7;16;1;0;18;41;176;0,216;0,313;0,040;0,091;0,006;0;0,102;0,233
1980;40;54;7;16;1;0;14;44;176;0,227;0,307;0,040;0,091;0,006;0;0,080;0,250
1981;38;54;8;18;1;0;11;46;176;0,216;0,307;0,045;0,102;0,006;0;0,063;0,261
1982;37;55;7;17;1;0;13;46;176;0,210;0,313;0,040;0,097;0,006;0;0,074;0,261
1983;36;55;6;17;1;0;15;46;176;0,205;0,313;0,034;0,097;0,006;0;0,085;0,261
1984;32;56;7;17;1;0;17;46;176;0,182;0,318;0,040;0,097;0,006;0;0,097;0,261
1985;31;55;6;18;1;0;19;46;176;0,176;0,313;0,034;0,102;0,006;0;0,108;0,261
1986;30;55;5;18;1;0;18;49;176;0,170;0,313;0,028;0,102;0,006;0;0,102;0,278
1987;28;56;5;19;1;0;18;49;176;0,159;0,318;0,028;0,108;0,006;0;0,102;0,278
1988;29;55;5;16;1;0;20;50;176;0,165;0,313;0,028;0,091;0,006;0;0,114;0,284
1989;27;55;6;15;1;0;22;50;176;0,153;0,313;0,034;0,085;0,006;0;0,125;0,284
1990;26;49;7;17;0;0;25;59;183;0,142;0,268;0,038;0,093;0;0;0,137;0,322
1991;31;39;6;26;0;0;29;62;193;0,161;0,202;0,031;0,135;0;0;0,150;0,321
1992;30;32;6;28;0;0;33;64;193;0,155;0,166;0,031;0,145;0;0;0,171;0,332
1993;28;24;6;33;0;0;36;68;195;0,144;0,123;0,031;0,169;0;0;0,185;0,349
1994;27;20;6;32;0;0;41;69;195;0,138;0,103;0,031;0,164;0;0;0,210;0,354
1995;25;19;6;36;0;0;39;70;195;0,128;0,097;0,031;0,185;0;0;0,200;0,359
1996;19;21;6;37;0;0;41;71;195;0,097;0,108;0,031;0,190;0;0;0,210;0,364
1997;21;17;6;38;0;0;41;72;195;0,108;0,087;0,031;0,195;0;0;0,210;0,369
1998;20;15;6;42;0;0;40;72;195;0,103;0,077;0,031;0,215;0;0;0,205;0,369
1999;22;14;6;41;0;0;40;72;195;0,113;0,072;0,031;0,210;0;0;0,205;0,369
2000;23;14;6;36;0;0;40;76;195;0,118;0,072;0,031;0,185;0;0;0,205;0,390
2001;18;17;6;35;0;0;40;79;195;0,092;0,087;0,031;0,179;0;0;0,205;0,405
2002;16;17;7;34;0;0;42;79;195;0,082;0,087;0,036;0,174;0;0;0,215;0,405
2003;17;17;8;36;0;0;38;79;195;0,087;0,087;0,041;0,185;0;0;0,195;0,405
2004;16;17;10;34;0;0;39;79;195;0,082;0,087;0,051;0,174;0;0;0,200;0,405
2005;13;14;9;37;0;0;44;78;195;0,067;0,072;0,046;0,190;0;0;0,226;0,400
2006;11;11;10;38;0;0;47;79;196;0,056;0,056;0,051;0,194;0;0;0,240;0,403
2007;12;11;9;40;0;0;46;79;197;0,061;0,056;0,046;0,203;0;0;0,234;0,401
2008;12;11;11;39;0;0;46;79;198;0,061;0,056;0,056;0,197;0;0;0,232;0,399
2009;15;12;11;38;0;0;44;78;198;0,076;0,061;0,056;0,192;0;0;0,222;0,394
2010;15;12;10;42;0;0;39;80;198;0,076;0,061;0,051;0,212;0;0;0,197;0,404
